gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
FAM161B	0.0513	0.0819	0.0841	0.1048	0.1022	0.0184	0.0956	0.1447	0.1403	0.1062	0.0997	0.0677	0.0479	0.3016	0.0519	0.2388	0.0519	0.0151	0.0243	0.1078	0.0965	0.0000	0.0228	0.0348	0.0848	0.0950	0.0450	0.0346
GNAQ	0.1088	2.3327	1.2776	0.7035	3.4038	5.5257	4.1809	2.3977	1.1361	1.8305	1.2891	3.4814	1.7748	4.4868	3.5685	1.2993	2.9834	4.7793	7.9764	1.2156	2.8868	1.2408	0.8949	0.0231	2.1505	2.4072	5.0694	4.0572
WIF1	0.0067	0.0098	0.0061	0.0000	0.0019	0.0028	0.0000	0.0010	0.0000	0.0029	0.0021	0.0000	0.0021	0.0062	0.0000	0.0000	0.0107	0.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0007	0.0029	0.0140	0.0142	0.0000
UGT2B4	0.0007	0.0009	0.0013	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	0.0000	0.0006	0.0000	0.0004	0.0082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0001	0.0000	0.0000	0.0120	0.0000
GPR61	0.0017	0.0222	0.0003	0.0017	0.0070	0.0000	0.0000	0.0116	0.0000	0.0017	0.0000	0.0000	0.0013	0.0082	0.0029	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0004	0.0000	0.0091	0.0010	0.0381
MMP16	0.0031	0.0096	0.0030	0.0000	0.2107	0.0017	0.5995	0.0032	0.0036	0.2785	0.0000	0.0000	0.0004	0.0111	0.0059	0.0000	0.0000	0.0128	0.0250	0.0536	0.0000	0.0000	0.0000	0.0020	0.0074	0.0011	0.2330	0.0355
ADK	6.2672	0.6834	5.5641	3.6755	0.9268	3.1269	1.9677	1.0075	3.8985	1.3720	4.2594	9.1409	1.0833	0.8727	2.4361	3.2308	1.4477	2.3194	5.1135	0.7042	8.8622	1.3549	0.4883	2.2585	5.6889	1.8321	1.1067	2.5316
KCNMA1	0.0371	0.2524	0.0165	0.0036	0.0778	2.9720	0.2356	0.3173	0.2795	0.0495	0.0054	0.0000	0.1103	10.3564	0.0370	0.0325	0.2209	1.8711	4.3450	1.1600	0.0479	0.0000	0.0603	0.2349	0.0231	0.6378	0.1985	0.0000
BATF	0.1368	0.0053	1.2107	1.0638	0.2327	0.1913	0.0000	0.0000	0.0096	0.1492	0.3023	0.2318	0.0000	0.0007	3.3647	0.1540	0.3068	0.0881	0.0635	0.0144	0.1966	0.0000	0.0000	0.0451	2.3334	0.0000	0.0180	0.0000
DCK	0.1805	0.0319	0.1105	0.1513	0.0672	0.2891	0.0152	0.0423	0.1211	0.0468	0.1784	0.4033	0.1417	0.0375	0.0440	0.1854	0.0769	0.1905	0.0464	0.0894	0.1468	0.1562	0.0474	0.0149	0.1909	0.1957	0.0566	0.0505
ADAMTS3	0.0025	0.0088	0.0016	0.0013	0.0415	0.0032	0.0000	0.0025	0.0048	0.3697	0.0004	0.0000	0.0012	0.0288	0.0660	0.0000	0.0000	0.0000	0.0079	0.4672	0.0000	0.0000	0.0000	0.0070	0.0123	0.0086	0.0204	0.0000
ALX3	0.0036	0.0027	0.0025	0.0009	0.0000	0.0000	0.0000	0.0007	0.0000	0.0008	0.0022	0.0000	0.0002	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0177	0.0000
DPY19L4	0.1240	0.2577	0.0476	0.0352	0.2507	0.1745	0.0994	0.1196	0.2216	0.2021	0.0378	0.3867	0.1227	0.1670	0.1578	0.1270	0.0101	0.0948	0.2059	0.0831	0.2263	0.1487	0.0670	0.0644	0.1401	0.2485	0.3537	0.2019
NDUFAF6	1.6182	0.6904	0.7691	0.6186	0.2819	0.2365	1.1444	0.3741	0.6423	0.3698	0.7347	2.1420	0.2181	0.5210	0.4830	1.5081	0.0613	0.1939	0.2027	0.1318	0.7080	0.4535	0.2340	1.4928	1.2028	0.6347	0.2135	0.7011
DRAM2	0.6729	0.1109	0.1377	0.1287	0.2038	0.6727	0.0000	0.1305	0.1137	0.2048	0.1727	0.0000	0.2729	0.1471	0.1203	0.2170	0.0739	0.5833	0.2318	0.1762	0.2727	0.0000	0.3846	0.1728	0.1455	0.2159	0.2297	0.2996
CFAP418	0.0197	0.0021	0.0129	0.0158	0.0325	0.0210	0.0000	0.0077	0.0257	0.0182	0.0127	0.0000	0.0076	0.0145	0.0076	0.0091	0.0000	0.0115	0.0186	0.0000	0.0238	0.0000	0.0000	0.0042	0.0074	0.0010	0.0310	0.0575
PPEF2	0.0033	0.0090	0.0013	0.0000	0.0029	0.0017	0.0621	0.0035	0.0063	0.0021	0.0030	0.0000	0.0010	0.0089	0.0000	0.0000	0.0000	0.0000	0.0070	0.0000	0.0000	0.0000	0.0000	0.0018	0.0005	0.0000	0.0082	0.0000
CFAP161	0.0681	0.0580	0.0296	0.0164	0.2816	0.1319	0.0621	0.0233	0.2458	0.3545	0.0295	0.2046	0.0411	0.1574	0.1437	0.0000	0.1608	0.0000	0.1698	0.3310	0.0516	0.0000	0.0111	0.0563	0.0263	0.0552	0.0593	0.0000
ADAMTSL3	0.0056	0.0160	0.0085	0.0059	0.2470	0.0020	0.0621	0.0057	0.0066	0.6597	0.0037	0.0000	0.0009	0.0096	0.0223	0.0606	0.0000	0.0000	0.0035	0.1952	0.0293	0.1487	0.0000	0.0043	0.0179	0.0000	0.0005	0.0575
ART3	0.0278	0.0172	0.0180	0.0148	0.0011	0.0021	0.0000	0.0065	0.3173	0.0155	0.0220	0.0000	0.0056	0.0101	0.0662	0.0242	0.0000	0.0000	0.0129	0.0181	0.0144	0.0000	0.0001	0.0101	0.0245	0.0319	0.2632	0.0000
SLC28A1	0.0049	0.0759	0.0005	0.0000	0.0020	0.0066	0.0198	0.0205	0.0432	0.0047	0.0049	0.0000	0.0083	0.0122	0.0000	0.0000	0.0000	0.0000	0.0559	0.0000	0.0000	0.0000	0.0049	0.0098	0.0076	0.0111	0.0000	0.0000
WHAMM	0.6542	0.3444	0.4881	0.5062	0.3328	0.3522	0.1968	0.2326	0.2785	0.3337	0.5571	0.2157	0.2205	0.2935	0.4014	0.5182	0.1430	0.5065	0.4017	0.3392	0.5963	0.5393	0.1563	0.2975	0.5560	0.2522	0.2961	0.2123
CXCL13	0.0082	0.0060	0.0130	0.0199	0.0000	0.0011	0.0000	0.0001	0.0037	0.0391	0.0037	0.0000	0.0002	0.0097	0.0000	0.0000	0.0000	0.0000	0.0086	0.0000	0.0000	0.0000	0.0000	0.0043	0.4580	0.0000	0.0404	0.0000
N6AMT1	0.0391	0.0164	0.0233	0.0402	0.0308	0.0266	0.0000	0.0467	0.0544	0.0700	0.0373	0.0000	0.0448	0.0396	0.0466	0.0000	0.0000	0.0000	0.0095	0.1130	0.0480	0.0000	0.0324	0.0064	0.0459	0.0402	0.0589	0.0402
RWDD2B	0.0146	0.0198	0.0101	0.0067	0.1111	0.0470	0.0797	0.0334	0.0439	0.0767	0.0159	0.0000	0.0609	0.0252	0.0092	0.0602	0.0065	0.0347	0.0354	0.0931	0.0039	0.0000	0.1235	0.0400	0.0245	0.0451	0.0397	0.0345
USP16	1.2662	0.7015	1.1215	1.1225	0.8722	0.6688	0.6541	0.5393	0.9486	0.7434	1.0640	0.9001	0.7607	0.6584	1.3091	0.8433	0.7110	0.3997	0.5701	0.9354	1.1390	1.2969	0.9204	0.7912	1.2949	0.6859	0.6392	0.5219
CCT8	0.6019	0.2187	0.5862	0.6549	0.6229	0.4083	0.7257	0.2698	0.3506	0.4748	0.5656	0.2651	0.9647	0.2699	0.6092	0.7112	0.4299	0.4756	0.1565	2.0649	0.5839	0.4282	1.1182	0.4019	0.5573	0.9354	0.2605	0.5136
MAP3K7CL	0.0889	0.0622	0.0324	0.0200	0.0801	0.0242	0.1614	0.0552	0.0194	0.0528	0.0162	0.0716	0.0353	0.1430	0.0192	0.0403	0.1194	0.0126	0.0314	0.0791	0.1352	0.2341	0.0160	0.0279	0.0708	0.0314	0.1869	0.1652
NAA11	0.0045	0.0120	0.0006	0.0004	0.0112	0.0000	0.0000	0.0043	0.1297	0.0142	0.0000	0.0000	0.0028	0.0040	0.0000	0.0000	0.0000	0.0000	0.0073	0.0122	0.0068	0.0000	0.0000	0.0017	0.0055	0.0000	0.0000	0.0000
BACH1	3.1267	2.8066	1.3756	1.4638	1.0535	2.5075	2.2156	0.6482	2.2223	1.5649	1.9407	1.2385	0.5737	1.6975	2.3253	1.2294	4.8909	2.9768	4.1595	0.9409	1.4712	1.3910	0.5771	3.0263	2.4166	0.6546	0.6099	1.3946
CLDN17	0.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CLDN8	0.0000	0.0097	0.0019	0.0000	0.0050	0.0000	0.0000	0.2783	0.0000	0.0014	0.0000	0.0000	0.2916	0.1906	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3387	0.0010	0.0000	0.0720	0.0120	0.0089
TSPAN7	0.0035	0.0238	0.0015	0.0025	2.0541	0.0000	0.0152	0.2331	0.1454	0.0075	0.0020	0.0000	0.3452	0.0597	0.2271	0.0000	0.0000	0.0126	0.0000	0.0287	0.0000	0.0000	0.8383	0.0009	0.0018	0.2084	0.0142	0.1296
TIAM1	0.0943	1.5045	0.2489	0.1606	0.2119	2.5273	0.3308	0.0699	0.0144	0.0648	0.2803	1.2015	0.1204	0.1083	0.8866	3.1328	0.8903	1.1085	3.3857	0.0000	0.7569	2.8093	0.4188	0.3863	1.7012	0.3772	0.0964	0.2741
SCAF4	0.6867	0.5549	0.6396	0.5305	0.5532	0.6033	0.7388	0.4862	0.5812	0.8391	0.7311	0.8923	0.4023	0.5461	0.7105	0.7047	0.4691	0.3808	0.9333	0.4089	0.9844	0.4867	0.4549	0.2914	0.7356	0.5566	0.8516	0.9776
RPGR	0.7917	0.3829	0.8096	0.6328	1.6764	0.2986	0.3520	0.1927	2.4358	0.2155	0.8672	0.4444	0.1675	0.3501	0.5683	0.6950	0.5393	0.1769	0.4062	0.1495	0.5656	0.7236	0.1537	0.1849	0.7029	0.1919	0.2593	0.5695
CDK20	0.0010	0.0052	0.0190	0.0220	0.0000	0.0979	0.0000	0.0441	0.0146	0.0142	0.0055	0.0000	0.0271	0.0098	0.0000	0.0000	0.0316	0.0316	0.0000	0.0000	0.0000	0.0000	0.0614	0.0004	0.0024	0.0371	0.0088	0.0000
PCGF6	0.1466	0.0484	0.1418	0.1430	0.0943	0.1242	0.0527	0.0361	0.0768	0.0994	0.2616	0.0000	0.0479	0.0517	0.1153	0.1186	0.0367	0.0715	0.2041	0.0295	0.1982	0.0855	0.0821	0.0737	0.1553	0.0867	0.1832	0.1729
ANKRD9	0.0226	0.3234	0.2492	0.2401	0.1044	0.2611	0.4423	0.5564	0.0470	0.0823	0.3773	0.0000	0.6580	0.2624	0.7479	0.1071	0.1448	0.1110	0.1866	0.0000	0.0231	0.1134	0.1478	0.0036	0.0872	0.3855	0.0412	0.3800
SFR1	0.0845	0.0546	0.1067	0.0985	0.1790	0.0886	0.0000	0.0418	0.6282	0.1105	0.0875	0.0000	0.0664	0.1256	0.1641	0.1719	0.0989	0.0528	0.0813	0.1440	0.0278	0.0000	0.1917	0.0523	0.0553	0.1470	0.0494	0.0000
SORCS3	0.0063	0.0221	0.0051	0.0061	0.0009	0.0045	0.0000	0.0071	0.4589	0.0044	0.0035	0.0000	0.0039	0.0207	0.0000	0.0000	0.0000	0.0110	0.0084	0.0011	0.0493	0.0000	0.0040	0.0014	0.0022	0.0000	0.0168	0.0000
SFXN2	0.0525	0.0217	0.0514	0.0385	0.0321	0.0754	0.0621	0.0430	0.0421	0.0456	0.0504	0.0000	0.0431	0.0804	0.0288	0.1003	0.0000	0.0088	0.0487	0.0827	0.0633	0.0000	0.1100	0.0849	0.0535	0.1796	0.0028	0.0098
ATP5MJ	0.7591	0.9251	0.7467	0.8958	0.9717	1.3805	1.3180	1.5192	0.7932	1.0797	0.7365	0.1354	4.5940	0.7829	0.8234	0.8505	1.1552	1.7578	0.2584	1.1256	0.4271	1.6148	2.1111	0.6854	0.7868	3.3952	0.7694	1.6252
FUT6	0.0019	0.2336	0.0010	0.0013	0.0052	0.0029	0.1050	0.4083	0.0131	0.0077	0.0012	0.0000	0.2453	0.5274	0.0000	0.0450	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2573	0.0016	0.0005	0.2199	0.7251	0.1014
TDRD9	0.0036	0.0147	0.0088	0.0122	0.0125	0.0190	0.0000	0.0018	0.2611	0.0148	0.0431	0.0000	0.0015	0.0030	0.0249	0.0000	0.6167	0.0000	0.1090	0.0001	0.0320	0.1562	0.0000	0.0041	0.0073	0.0076	0.0117	0.0575
FGF18	0.0169	0.0165	0.0160	0.0088	0.1100	0.0113	0.0000	0.0186	0.0358	0.1944	0.0235	0.0000	0.0110	0.0534	0.0150	0.0000	0.0000	0.0178	0.1120	0.0000	0.0169	0.0000	0.0035	0.0209	0.0140	0.0359	0.0110	0.0000
PCDH1	0.0037	0.1310	0.0093	0.0045	0.2600	0.0029	0.0661	0.3590	0.1965	0.0058	0.0038	0.0000	0.3026	0.3520	0.0035	0.0000	0.0000	0.0000	0.0000	0.2461	0.0000	0.0000	0.3302	0.0024	0.0115	0.3029	0.8519	0.2611
SH3RF2	0.0021	0.6075	0.0015	0.0019	0.0180	0.0000	0.0718	1.4995	0.0078	0.0042	0.0049	0.0000	1.2388	0.7213	0.0274	0.0000	0.0000	0.0088	0.0034	0.0000	0.0061	0.1821	0.5812	0.0072	0.0114	1.3498	0.0911	0.4552
GDF6	0.0000	0.0006	0.0000	0.0007	0.0000	0.0000	0.0000	0.0003	0.0000	0.0406	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	0.0000	0.0000
UQCRB	3.4581	1.2428	4.3628	5.2394	2.1815	3.7954	2.3358	1.4642	1.1209	2.6993	3.0944	0.7426	6.5845	1.3999	4.4815	3.6260	1.6001	4.3125	0.6414	2.5708	2.3476	2.0930	2.1815	1.1130	3.3781	4.6501	1.0857	2.5930
MTERF3	0.1083	0.0197	0.1094	0.1042	0.1226	0.0463	0.0448	0.0261	0.0967	0.0728	0.1182	0.3102	0.0652	0.0533	0.0437	0.1368	0.0078	0.0349	0.0594	0.0916	0.0979	0.0000	0.0559	0.0360	0.0867	0.0674	0.0238	0.0553
PTDSS1	0.5935	0.0977	0.5603	0.5690	0.3223	0.4274	0.0956	0.1064	0.2082	0.2089	0.7954	0.4856	0.1991	0.1056	0.3456	0.3566	0.4000	0.2896	0.4009	0.3370	0.6580	0.6859	0.2844	0.1761	0.6086	0.1705	0.1019	0.0625
PPP2R2B	0.0365	0.0195	1.0321	0.8247	0.0329	0.0887	0.0000	0.0032	5.8714	0.0435	0.9424	1.9532	0.0008	0.0112	0.1118	0.2407	0.0834	0.0178	0.0467	0.2591	0.2932	0.6198	0.0000	0.0245	0.3353	0.0106	0.0471	0.3548
RPL30	33.5820	3.7431	40.6206	39.4769	11.4208	11.7400	7.2403	2.9849	7.0473	19.1132	24.1180	1.8957	26.9657	4.3807	37.0296	29.8844	10.5495	18.8771	1.6823	9.4254	22.1580	19.0352	7.6003	8.2246	30.5595	22.3628	3.1545	7.4885
KCNS2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0012	0.0409	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PABIR3	0.2820	0.0885	0.6946	0.5604	0.1420	0.1567	0.0329	0.0431	0.0972	0.0995	0.7316	1.1777	0.0241	0.0933	0.4726	0.4534	0.1327	0.1481	0.2339	0.0000	0.5297	0.2344	0.0139	0.1879	0.6139	0.0438	0.8960	0.0211
SUPV3L1	0.2998	0.1168	0.3502	0.4212	0.2261	0.2356	0.1091	0.1717	0.1457	0.1770	0.5864	0.1393	0.2369	0.1083	0.2052	0.4987	0.1091	0.2257	0.3298	0.2073	0.4657	0.8509	0.2350	0.1410	0.3991	0.1997	0.1532	0.1709
PABIR2	0.1361	0.0999	0.1010	0.0931	0.0821	0.0816	0.1122	0.0758	0.0285	0.0635	0.1405	0.0000	0.0851	0.0796	0.1641	0.1532	0.0201	0.0666	0.0702	0.0000	0.1366	0.2303	0.0355	0.0565	0.1602	0.1186	0.2092	0.1067
EEF1A1	38.9218	5.5699	47.6416	48.7287	26.1093	31.1720	8.3513	6.2898	15.6891	36.1691	35.1977	7.6249	53.3873	7.6332	42.9647	48.6301	23.4162	41.9159	5.3236	40.7833	25.3515	28.5440	43.3728	16.0696	35.0311	41.9777	6.4893	16.1039
FBXO43	0.0030	0.0014	0.0047	0.0061	0.0141	0.0127	0.0000	0.0024	0.0057	0.0013	0.0092	0.0000	0.0014	0.0091	0.0027	0.0282	0.0000	0.0000	0.0168	0.0001	0.0141	0.0000	0.0000	0.0141	0.0125	0.0157	0.0000	0.0000
HKDC1	0.0048	0.2047	0.0093	0.0026	0.0023	0.0096	0.0450	0.2374	0.0055	0.0014	0.0066	0.0000	0.0249	0.0278	0.0038	0.0091	0.0007	0.0199	0.0206	0.0000	0.0457	0.0000	0.0126	0.0010	0.0355	0.0497	0.1237	0.0000
HK1	0.4808	0.2037	0.4330	0.4468	1.1170	1.2429	0.1648	0.4416	0.5939	0.7403	0.6259	1.3441	0.4052	0.8218	0.4913	0.4222	0.9637	0.7956	1.7487	0.4268	0.6333	0.4470	0.3516	0.2235	0.4851	0.3940	0.7094	0.8809
TYSND1	0.0727	0.0493	0.0540	0.0472	0.0330	0.0546	0.0000	0.0765	0.0372	0.0686	0.0906	0.0000	0.1424	0.0568	0.0247	0.0090	0.0471	0.0889	0.0305	0.0702	0.0854	0.0000	0.0676	0.0432	0.0782	0.1469	0.0499	0.0164
PHF6	0.7566	0.1280	0.2606	0.2457	0.2349	0.2193	0.1284	0.1135	0.1990	0.1653	0.3197	0.0000	0.1792	0.1489	0.6290	0.4519	0.0911	0.1787	0.2435	0.0171	0.2676	0.1152	0.1075	0.1392	0.4494	0.2216	0.3251	0.4436
CD109	0.0162	0.0057	0.0485	0.0162	0.3385	1.3964	0.0000	0.0032	0.6268	0.1967	0.3248	0.6487	0.0012	0.0017	0.7038	0.5754	1.0991	1.4751	3.3727	0.0353	0.0450	0.1308	0.0021	0.0100	0.1189	0.0166	0.0000	0.0136
LRFN2	0.0010	0.0005	0.0030	0.0016	0.0020	0.0000	0.0000	0.0021	0.0001	0.0353	0.0073	0.0000	0.0033	0.0636	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0005	0.0090	0.0037	0.2171	0.2066
NODAL	0.0027	0.0042	0.0011	0.0016	0.0084	0.0000	0.0000	0.0024	0.0014	0.0169	0.0013	0.0000	0.0013	0.0059	0.0000	0.0000	0.0000	0.0000	0.0017	0.0283	0.0133	0.0000	0.0000	0.0037	0.0029	0.0024	0.0000	0.0000
PRG3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBE2L6	0.0981	0.0483	0.1852	0.2489	0.4288	0.2266	0.0000	0.0151	0.2764	0.2403	0.1915	0.0677	0.0297	0.0460	0.1687	0.1658	0.1108	0.2860	0.0454	0.1596	0.0798	0.0855	0.1488	0.0883	0.1373	0.0302	0.0637	0.0000
ZDHHC5	0.3881	0.4102	0.4012	0.4148	0.2615	0.3003	0.2737	0.3295	0.2708	0.3170	0.4585	1.2406	0.2768	0.3561	0.4458	0.4100	0.3916	0.3571	0.2671	0.1345	0.4660	0.4990	0.2111	0.1676	0.4238	0.3950	0.2395	0.1992
MED19	0.2582	0.1189	0.3715	0.4374	0.2555	0.1015	0.3726	0.1398	0.4671	0.3147	0.3703	0.4033	0.2085	0.1604	0.3626	0.1321	0.0000	0.0920	0.0370	0.2273	0.1196	0.0000	0.1791	0.1096	0.1952	0.1753	0.0668	0.2802
ZFAND3	5.1954	6.3145	3.5917	3.0449	3.9919	7.0280	5.4060	3.5660	2.0602	5.0233	3.9640	10.3442	2.0333	4.3518	6.3803	4.2806	12.2405	5.1035	13.4614	1.2323	5.2362	5.1408	0.8303	1.9812	4.5048	1.8189	3.9362	6.4632
NPTN	0.4871	1.0931	0.4057	0.3633	0.7231	1.0213	1.5141	0.8201	0.6186	1.5058	0.5688	0.7935	0.8918	1.4603	0.5294	0.3464	1.3127	0.9845	1.3555	0.6218	0.4738	0.2564	0.2340	0.1670	0.5944	0.9278	0.7580	2.5032
KAT6B	2.5645	1.2207	3.5598	2.8813	1.5144	0.7481	1.9126	0.9985	1.7285	2.8462	5.2974	4.6977	0.6322	1.7439	1.5157	3.1062	0.4273	0.9006	1.1883	1.0296	3.6069	2.0658	0.3289	1.1177	4.0362	0.9159	1.4855	2.0499
SAMD8	1.0002	0.6452	0.6561	0.5932	0.6739	0.8094	0.6959	0.3016	0.6573	1.1831	0.8603	1.0518	0.1626	0.2483	1.1275	0.4414	0.9368	1.0856	1.0348	0.7095	0.8478	0.4278	0.2378	0.3583	0.7590	0.2136	0.2382	0.4884
RAB11FIP1	3.5203	9.8927	1.8044	1.5002	0.4176	1.8562	5.8834	4.8772	0.2505	0.0483	2.4604	6.5250	7.0248	8.9559	0.8282	3.1304	1.3110	2.0633	1.7220	0.1897	0.8663	2.1931	5.7084	1.0891	2.0332	7.4911	2.7204	13.5569
UNC5D	0.0060	0.0152	0.0043	0.0030	0.3877	0.0062	0.0000	0.0114	0.0109	0.3898	0.0065	0.0000	0.0054	0.0302	0.0000	0.0000	0.0000	0.0000	0.0095	0.0000	0.0146	0.0000	0.0001	0.0009	0.0082	0.0056	0.0211	0.0000
GLYATL2	0.0047	0.0073	0.0000	0.0009	0.0000	0.0011	0.0270	0.0025	0.0013	0.0330	0.0000	0.0000	0.0004	0.0219	0.0000	0.0000	0.0000	0.0000	0.0076	0.0000	0.0000	0.0000	0.0000	0.0003	0.0022	0.0065	0.0000	0.0000
UTP14A	0.1681	0.0411	0.1554	0.1565	0.0764	0.1439	0.0000	0.0480	0.0937	0.1612	0.1610	0.0000	0.1252	0.0766	0.1582	0.0952	0.0000	0.0674	0.1018	0.0240	0.1896	0.2772	0.1507	0.1005	0.1739	0.1619	0.0491	0.1384
AIFM1	0.1258	0.0760	0.0974	0.1192	0.1754	0.2634	0.3734	0.2106	0.1198	0.1381	0.1830	0.0000	0.4441	0.1103	0.1412	0.2956	0.0707	0.2837	0.1920	0.0903	0.1689	0.2062	0.5074	0.1415	0.1068	0.3633	0.3302	0.1001
MAPK13	0.1227	0.3444	0.0662	0.0761	0.0072	0.1043	0.0602	0.3939	0.0134	0.0207	0.0524	0.0000	0.7741	0.3029	0.0052	0.0185	0.2419	0.0214	0.0623	0.0000	0.0943	0.0000	0.8553	0.0784	0.1469	0.5215	0.4550	0.4234
BAG4	0.2755	0.0967	0.2863	0.2718	0.1550	0.2038	0.1215	0.1645	0.2549	0.1690	0.4004	0.0000	0.1768	0.1493	0.2533	0.5274	0.0387	0.1690	0.2016	0.3417	0.3438	0.3129	0.1945	0.1794	0.3205	0.2902	0.1870	0.2696
MS4A1	5.7615	0.0029	0.0102	0.0204	0.0120	0.0167	0.0000	0.0027	0.0034	0.0304	0.0063	0.0000	0.0024	0.0048	0.0225	0.0000	0.0000	0.0192	0.0053	0.0000	0.0000	0.0000	0.0000	0.0275	0.0406	0.0000	0.0000	0.0000
IGKV1OR-2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000
TBC1D31	0.0568	0.0755	0.1850	0.1775	0.0519	0.0677	0.0000	0.1341	0.0373	0.0694	0.2499	0.2834	0.0428	0.2852	0.0350	0.4700	0.0156	0.1531	0.1115	0.0191	0.2173	1.1702	0.0180	0.0403	0.1935	0.1795	0.3009	0.1463
NTAQ1	0.0622	0.0463	0.0396	0.0351	0.0916	0.0656	0.0000	0.0633	0.0538	0.0712	0.0453	0.1431	0.0849	0.0702	0.0502	0.1142	0.0176	0.0404	0.0763	0.0000	0.0785	0.1210	0.1073	0.0629	0.0612	0.0930	0.1651	0.1037
ATAD2	0.3202	0.2625	0.3569	0.3601	0.1417	0.1309	0.1685	0.1193	0.1366	0.3014	0.4713	0.0677	0.1538	0.1614	0.5115	1.3156	0.0053	0.1233	0.1515	0.0875	0.4791	0.1821	0.0567	0.1734	0.8062	1.0608	0.1438	0.2236
FBXO32	0.1325	1.5023	0.4430	0.3916	0.2463	0.0644	1.9806	1.5103	0.3792	0.6792	0.3263	0.1480	0.7391	3.0088	0.1069	0.2152	0.1058	0.1352	0.0144	0.9931	1.4532	0.4706	0.5951	0.8904	0.8254	0.3950	2.0371	3.3479
NSMCE2	2.2707	2.1599	1.3474	1.0059	1.3898	2.2219	2.6490	1.1325	0.9431	1.8200	1.3709	3.2592	0.7990	1.8304	1.5521	1.9951	1.8208	1.6588	3.3330	0.5487	2.7155	1.1485	0.3060	2.3804	2.3179	1.1078	1.5594	1.5512
ZNF689	0.0604	0.0496	0.0796	0.1066	0.2263	0.0521	0.0195	0.0322	0.0761	0.0812	0.1342	0.0000	0.0636	0.0392	0.1034	0.1996	0.0222	0.1016	0.0389	0.0434	0.0793	0.1789	0.1210	0.0261	0.1124	0.0965	0.0514	0.0875
PRR14	0.0971	0.1538	0.1103	0.1377	0.2347	0.1493	0.5091	0.1055	0.1289	0.1227	0.1294	0.2318	0.1125	0.1529	0.1361	0.0641	0.0076	0.0591	0.1003	0.1323	0.1282	0.3705	0.0671	0.0523	0.1016	0.1249	0.1004	0.1829
FBRS	0.3247	0.4384	0.3110	0.3417	0.3302	0.2207	0.4035	0.2776	0.2760	0.2999	0.3319	0.3146	0.2069	0.4145	0.3805	0.6018	0.4905	0.1699	0.2609	0.2190	0.1433	0.7238	0.1009	0.1545	0.2215	0.2001	0.3694	0.2442
FRRS1	0.0208	0.1451	0.0159	0.0213	0.0120	0.0449	0.1646	0.1621	0.0129	0.1480	0.0501	0.0000	0.0867	0.0433	0.0143	0.0280	0.0339	0.0263	0.0421	0.0361	0.0132	0.0000	0.1985	0.0111	0.0095	0.0849	0.1417	0.0857
