gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
ENSG00000249868	0.0008	0.0000	0.0008	0.0012	0.0000	0.0000	0.0000	0.0009	0.0000	0.0011	0.0009	0.0000	0.0004	0.0035	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000
VPS51P10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249870	0.3523	0.4598	0.2701	0.2020	0.2742	0.3183	0.2666	0.3105	0.3662	0.5275	0.2876	0.7408	0.3651	0.2689	0.7244	0.4428	0.3532	0.5233	1.0065	0.1349	0.1979	0.0000	0.0958	0.4429	0.3972	0.3171	0.2362	0.5484
LINC02372	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0035	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249875	0.0024	0.0023	0.0013	0.0020	0.0000	0.0000	0.0000	0.0003	0.0000	0.0024	0.0023	0.0000	0.0039	0.0013	0.0000	0.0000	0.0000	0.0000	0.0067	0.0000	0.0064	0.0000	0.0000	0.0046	0.0027	0.0000	0.0000	0.0000
ENSG00000249876	0.0000	0.0000	0.0000	0.0000	0.0001	0.0023	0.0000	0.0003	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0070	0.0000	0.0099	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000
ENSG00000249877	0.0010	0.0000	0.0003	0.0005	0.0016	0.0024	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0303	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0000	0.0000	0.0000
ENSG00000249878	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249881	0.0097	0.0118	0.0131	0.0149	0.0108	0.0116	0.0797	0.0045	0.0081	0.0047	0.0288	0.2318	0.0011	0.0079	0.0317	0.0000	0.0000	0.0053	0.0238	0.0000	0.0203	0.0000	0.0000	0.0175	0.0133	0.0168	0.0000	0.0000
LINC02501	0.0024	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0004	0.0019	0.0003	0.0000	0.0000	0.0000	0.0034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000
