gene	tau	top_cell_state	top_expr	n_states
PTBP1	0.5328	transit amplifying cell of colon	1.2623	28
DPF1	0.7849	fibroblast	0.0156	28
SYT7	0.9763	type L enteroendocrine cell	1.9106	28
LARS2	0.5629	naive thymus-derived CD4-positive, alpha-beta T cell	0.4416	28
PIK3C2A	0.6070	colon endothelial cell	2.3851	28
PLAUR	0.9351	monocyte	29.8690	28
ANLN	0.9682	tuft cell of colon	1.3606	28
WIZ	0.5605	innate lymphoid cell	0.1480	28
RABGAP1	0.4036	myeloid leukocyte	1.5758	28
DCN	0.9980	fibroblast	38.7414	28
QPCTL	0.7353	myeloid leukocyte	0.5396	28
PPP5C	0.6336	type L enteroendocrine cell	0.5904	28
CEP68	0.6124	innate lymphoid cell	0.6908	28
MAP4K3	0.6629	enterochromaffin-like cell	3.9610	28
ZBTB32	0.8552	B cell	0.2431	28
TYROBP	0.8958	myeloid dendritic cell	8.7815	28
LDAF1	0.7963	myofibroblast cell	0.7540	28
GABRA3	0.9653	tuft cell of colon	0.1302	28
BRCA1	0.8749	transit amplifying cell of colon	0.7249	28
ERCC1	0.6481	enteroglial cell	2.5995	28
CD22	0.9783	B cell	1.3740	28
SEMA3B	0.9652	enteroglial cell	2.1265	28
MBTPS2	0.8204	innate lymphoid cell	0.4092	28
PRICKLE3	0.5526	transit amplifying cell of colon	0.0821	28
LTF	0.9631	colon endothelial cell	0.0607	28
EXTL3	0.7904	innate lymphoid cell	0.5743	28
NR1H4	0.9046	enterocyte of epithelium of large intestine	0.9486	28
ELOVL5	0.8720	innate lymphoid cell	14.2232	28
ALOX5	0.9480	tuft cell of colon	8.5899	28
KDM5D	0.9248	colon endothelial cell	1.1975	28
CALCOCO1	0.6446	tuft cell of colon	0.4441	28
UBR7	0.6506	natural killer cell	0.2375	28
MAP4K5	0.7148	enteroglial cell	3.3861	28
EHD3	0.9547	B cell	0.2199	28
PSMC4	0.7242	myofibroblast cell	1.4029	28
MAN2B2	0.5333	natural killer cell	0.2374	28
SLC7A14	0.8911	enterochromaffin-like cell	0.0358	28
CLDN11	0.9639	fibroblast	0.3421	28
SLC25A39	0.8297	paneth cell of colon	1.4027	28
MVP	0.7074	enterocyte of epithelium of large intestine	1.5972	28
NUB1	0.5731	natural killer cell	1.3024	28
PGM3	0.6589	plasma cell	0.5245	28
RWDD2A	0.8282	enterochromaffin-like cell	0.0956	28
CLK1	0.3553	innate lymphoid cell	2.8758	28
POLR3B	0.8258	innate lymphoid cell	0.6697	28
ANGEL1	0.7330	colon macrophage	0.2587	28
RNF14	0.7464	myofibroblast cell	0.6014	28
DNASE1L1	0.6947	colon macrophage	0.3365	28
DDX11	0.6708	natural killer cell	0.2062	28
HEBP1	0.7737	colon endothelial cell	0.5800	28
GPRC5A	0.9347	paneth cell of colon	19.0770	28
MAMLD1	0.8832	myeloid leukocyte	2.0699	28
CD6	0.9254	naive thymus-derived CD4-positive, alpha-beta T cell	4.9298	28
TACC3	0.7663	transit amplifying cell of colon	0.5518	28
UFL1	0.4983	naive thymus-derived CD4-positive, alpha-beta T cell	0.7724	28
POLA2	0.9201	fibroblast	0.2369	28
ZC3H3	0.6026	monocyte	0.4857	28
CAPN1	0.6090	intestinal crypt stem cell of colon	0.7392	28
ACP3	0.9719	enterochromaffin-like cell	2.1123	28
MDH1	0.8216	paneth cell of colon	2.5793	28
SLC30A9	0.4412	innate lymphoid cell	0.9392	28
MTMR11	0.8999	paneth cell of colon	1.3205	28
COX15	0.6419	paneth cell of colon	0.1816	28
CCDC88C	0.7885	plasma cell	3.3365	28
YAF2	0.5489	mature NK T cell	2.1883	28
ZMYND11	0.4099	type L enteroendocrine cell	1.1690	28
WAS	0.8282	monocyte	1.1286	28
DPEP1	0.9450	plasma cell	0.1107	28
BID	0.8401	monocyte	3.8841	28
MATR3	0.7377	naive thymus-derived CD4-positive, alpha-beta T cell	0.4821	28
NPC1L1	0.9193	enteroglial cell	0.0144	28
XYLT2	0.9533	innate lymphoid cell	0.7301	28
RGPD5	0.8342	natural killer cell	0.1821	28
STMN4	0.9010	naive thymus-derived CD4-positive, alpha-beta T cell	0.0046	28
NUDCD3	0.5136	naive thymus-derived CD4-positive, alpha-beta T cell	0.7492	28
ISL1	0.9565	type L enteroendocrine cell	0.8185	28
CHDH	0.9375	tuft cell of colon	1.7170	28
IL20RA	0.9087	large intestine goblet cell	0.1872	28
