gene	tau	top_cell_state	top_expr	n_states
STMN1	0.6649	enteric neuron	29.3292	21
PAFAH2	0.4775	enteroendocrine cell	0.1158	21
EXTL1	0.7559	enteric smooth muscle cell	0.0106	21
SLC30A2	0.9041	enterocyte	0.0855	21
TRIM63	0.9225	enterocyte	0.0120	21
PDIK1L	0.5442	enteric neuron	0.1026	21
FAM110D	0.9364	vein endothelial cell	0.3535	21
C1orf232	0.9446	enteric neuron	0.0046	21
ZNF593OS	0.7249	mesothelial cell	0.0045	21
ZNF593	0.3684	epithelial cell	0.7134	21
CNKSR1	0.8018	colon epithelial cell	0.2789	21
CATSPER4	0.8769	progenitor cell	0.0012	21
CEP85	0.4218	neural crest cell	0.0682	21
SH3BGRL3	0.7198	hematopoietic cell	8.4267	21
UBXN11	0.5192	enteroendocrine cell	0.2811	21
CD52	0.9907	hematopoietic cell	2.9079	21
CRYBG2	0.8542	colon epithelial cell	0.0949	21
ZNF683	0.9976	hematopoietic cell	0.0286	21
LIN28A	0.9644	mesothelial cell	0.0114	21
DHDDS	0.5418	endothelial cell of lymphatic vessel	0.2477	21
DHDDS-AS1	0.8974	pericyte	0.0006	21
HMGN2	0.4268	mesodermal cell	14.3553	21
RPS6KA1	0.8919	hematopoietic cell	0.4988	21
ENSG00000260063	0.5643	interstitial cell of Cajal	0.0055	21
ARID1A	0.3917	enteric neuron	1.1472	21
PIGV	0.4559	stem cell	0.1238	21
ZDHHC18	0.5403	endothelial cell of artery	0.1091	21
SFN	0.7963	epithelial cell	0.1371	21
GPN2	0.4701	epithelial cell	0.2708	21
ENSG00000226698	0.9729	hematopoietic cell	0.0009	21
GPATCH3	0.4552	endothelial cell of lymphatic vessel	0.1454	21
NUDC	0.2385	epithelial cell	1.4996	21
NR0B2	0.8503	enterocyte	0.6441	21
KDF1	0.8009	epithelial cell	0.3379	21
TRNP1	0.8745	mesothelial cell	0.2723	21
TENT5B	0.7715	neural crest cell	0.0358	21
SLC9A1	0.7638	endothelial cell of artery	0.2314	21
WDTC1	0.4030	enteric neuron	0.1557	21
TMEM222	0.2994	interstitial cell of Cajal	0.3585	21
SYTL1	0.7292	colon epithelial cell	0.4180	21
MAP3K6	0.6772	endothelial cell of artery	0.0538	21
