gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
OR6C1	0.0000	0.0036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0233
OR6C72P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
GOLGA2P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC01460	0.0000	0.0013	0.0000	0.0009	0.0000	0.0005	0.0000	0.0000	0.0000	0.0113	0.0008	0.0029	0.0045	0.0000	0.0000	0.0034	0.0000	0.0000	0.0011	0.0069	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	0.0000	0.0000	0.0021	0.0119
ADGRG1	0.0015	0.0906	0.0316	0.0910	0.0317	0.0688	1.3104	0.1186	0.6543	0.0218	0.0102	0.1335	0.0771	0.2708	0.0444	0.0088	0.1629	0.0440	0.2706	0.2545	0.1217	0.0000	0.0382	0.0000	0.0000	0.0290	0.1971	0.0000	0.1059	0.0000	0.0026	0.0000	0.1492	0.3477
IPO7	0.8630	0.6043	0.7854	0.8705	0.7068	0.7414	1.0585	0.7625	1.0993	0.4123	0.3585	0.8402	0.5154	0.5982	1.3418	1.1782	0.8077	1.3110	0.8080	0.3784	1.0719	0.9122	1.3855	0.8166	1.1428	0.7153	0.8737	0.8022	0.7325	1.4821	0.4537	0.3317	0.4619	1.1081
PRR13	0.7045	1.2151	0.8245	0.7514	0.8723	0.7974	0.4118	0.4619	0.6134	1.7306	2.7068	1.2156	1.1909	1.0045	0.3129	0.7303	0.9449	0.4934	1.3436	0.3387	0.9987	0.6597	0.7597	0.4256	0.2699	0.8851	0.9072	0.7674	2.5445	0.1950	0.2734	0.9102	0.7592	0.9239
TECPR1	0.0516	0.2543	0.0726	0.1030	0.1226	0.1324	0.5166	0.6200	0.5120	0.1256	0.1323	0.1934	0.1242	0.3257	0.0667	0.1308	0.0970	0.2246	0.1789	0.3553	0.2508	0.0621	0.1250	0.0670	0.1928	0.1178	0.1340	0.1596	0.1052	0.2097	0.1392	0.0654	0.4956	0.0472
MT1H	0.0567	6.7321	0.0026	0.0955	0.2153	0.1785	0.0232	0.0095	0.0121	5.7776	4.1826	3.7428	0.5581	1.6304	0.2502	0.0747	0.0496	0.2856	1.4371	0.5460	0.2388	0.2511	0.0673	0.0927	0.0006	0.0098	0.3340	0.7376	6.1992	0.0015	0.4094	0.0000	0.6429	0.4612
SLCO6A1	0.0000	0.0004	0.0006	0.0000	0.0016	0.0018	0.0000	0.0000	0.0000	0.0026	0.0002	0.0000	0.0061	0.0046	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0008	0.0000	0.0012	0.0000
MT1CP	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0041	0.0095	0.0002	0.0016	0.0000	0.0000	0.0000	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0005	0.0000
MT1DP	0.0000	0.0088	0.0039	0.0071	0.0152	0.0100	0.0000	0.0003	0.0000	0.0232	0.0404	0.0224	0.0053	0.0266	0.0219	0.0028	0.0023	0.0000	0.0161	0.0048	0.0000	0.0167	0.0000	0.0000	0.0000	0.0000	0.0073	0.0000	0.0417	0.0000	0.0039	0.0000	0.0089	0.0231
MT1A	0.0044	0.1293	0.0010	0.0030	0.0112	0.0043	0.8619	0.0000	0.1357	0.2331	0.2128	0.2061	0.0804	0.0601	0.3961	0.6145	0.0000	0.0000	0.1743	0.0330	0.7474	0.0106	0.0172	0.0000	1.2400	0.0000	0.0000	0.0241	0.4598	4.0456	0.0229	0.0000	0.0686	0.1074
INSYN1	0.0000	0.0013	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0043	0.0000	0.0143	0.0300	0.0000	0.0000	0.0000	0.0036	0.0000	0.0000	0.0000	0.0000	0.0337	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0002	0.0000
MT1M	0.0400	2.2018	0.0024	0.0763	0.1299	0.1447	2.1099	0.0860	0.3084	1.5903	2.4719	1.0608	0.0968	0.9770	4.0047	0.5551	0.0360	0.1336	0.7894	0.1224	0.0596	0.0631	0.0465	0.0000	2.9660	0.0098	0.2775	0.5620	3.3102	2.0502	0.1872	0.0000	0.4638	0.2471
LINC00661	0.0000	0.0000	0.0006	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0002	0.0001	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0453	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000
CFI	0.0024	0.0297	0.0000	0.0000	0.0000	0.0068	0.3873	0.6344	0.5191	0.0583	0.0603	0.0624	0.0942	0.0457	0.0420	0.0416	0.0000	0.0000	0.0468	0.0080	0.0053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1523	0.0781	0.0003	0.0000	0.0021	0.0396
OR52E6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
HNRNPA1P20	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
SAMD9	0.2970	0.1895	0.6022	0.6017	0.7163	0.9268	0.4714	0.1297	0.8343	0.1337	0.1647	0.1024	0.0424	0.1491	0.0435	0.2049	0.6067	0.3402	0.0823	0.1700	0.1629	0.3854	0.2077	0.0929	0.0603	0.6850	0.6102	0.1567	0.1140	0.1166	0.0511	0.7292	0.4142	0.0422
