gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
MUC12	0.0037	0.5701	0.0080	0.0110	0.0121	0.0176	0.0022	0.0000	0.0476	0.3762	0.7329	0.4556	0.1559	0.1610	0.0517	0.1834	0.0044	0.0000	0.5445	0.0233	0.0137	0.0047	0.0320	0.0000	0.0792	0.0000	0.0000	0.0502	0.2084	0.0000	0.0090	0.0000	0.5759	0.1962
CTXN3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0001	0.0000	0.0008	0.0000	0.0000	0.0055	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC01602	0.0025	0.0061	0.0003	0.0011	0.0000	0.0039	0.0000	0.0000	0.0000	0.0033	0.0006	0.0000	0.0032	0.0324	0.0000	0.0027	0.0021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0716	0.0073	0.0000	0.0000	0.0000	0.0008	0.0000	0.0007	0.0000	0.0046	0.0000
ENSG00000205300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000
MGAT4D	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0059	0.0230	0.0000	0.0032	0.0023	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0036	0.0043	0.0068	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	0.0367	0.0001	0.0000	0.0062	0.0000	0.0005	0.0000
SNX2	2.5906	0.3709	0.6389	0.7649	0.5295	0.7874	0.6086	2.2550	0.6973	0.2862	0.3944	0.4061	0.1941	0.4647	0.4589	0.5372	0.4430	0.7640	0.4635	0.3982	1.5422	0.4961	1.0873	0.7370	0.6663	0.6946	0.8215	0.9241	0.4633	0.3799	0.2288	0.6194	0.3133	0.2491
SAP25	0.0000	0.0020	0.0032	0.0020	0.0049	0.0019	0.0000	0.0000	0.0000	0.0026	0.0023	0.0000	0.0019	0.0004	0.0067	0.0000	0.0000	0.0000	0.0006	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.0003	0.0000	0.0015	0.0000
NT5M	0.0028	0.0039	0.0409	0.0561	0.0607	0.0660	0.0075	0.0732	0.0000	0.0030	0.0004	0.0000	0.0010	0.0044	0.0152	0.0099	0.0213	0.0000	0.0057	0.0169	0.0104	0.0502	0.0000	0.0000	0.1324	0.0544	0.0714	0.0292	0.0052	0.0797	0.0066	0.0000	0.0119	0.0000
KRT17P4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
GCNT2P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0001	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0045	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000
SARNP	0.0804	0.0435	0.1108	0.1002	0.1068	0.0738	0.1118	0.0569	0.0818	0.0509	0.0447	0.0410	0.0440	0.0469	0.1248	0.1656	0.1098	0.1257	0.0439	0.0569	0.1402	0.0940	0.0733	0.0670	0.2168	0.1111	0.1281	0.0676	0.0490	0.1944	0.0366	0.1309	0.0462	0.0606
ENSG00000205325	0.0000	0.0000	0.0000	0.0000	0.0016	0.0004	0.0000	0.0000	0.0000	0.0003	0.0001	0.0000	0.0005	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0098	0.0000	0.0000	0.0000	0.0000	0.0000	0.0119
OR6C68	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR6C65	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0133	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR6C3	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
