gene	tau	top_cell_state	top_expr	n_states
CD22	0.9737	B cell	0.7621	34
SEMA3B	0.9148	enteroglial cell	3.0558	34
MBTPS2	0.6180	endothelial cell of lymphatic vessel	0.1979	34
PRICKLE3	0.7495	endothelial cell of arteriole	0.1625	34
LTF	0.8850	endothelial cell of venule	0.0439	34
EXTL3	0.9458	neutrophil	2.1686	34
NR1H4	0.9457	enterocyte of epithelium proper of ileum	5.1671	34
ELOVL5	0.6982	mast cell	6.3759	34
ALOX5	0.9519	intestinal tuft cell	8.1569	34
KDM5D	0.7314	enterocyte of epithelium proper of small intestine	0.4638	34
CALCOCO1	0.5333	endothelial cell of lymphatic vessel	0.4023	34
UBR7	0.6534	macrophage	0.2688	34
MAP4K5	0.6101	enteroglial cell	2.4814	34
EHD3	0.8436	B cell	0.1030	34
PSMC4	0.5196	regulatory T cell	0.7852	34
MAN2B2	0.7625	regulatory T cell	0.5893	34
SLC7A14	0.9473	enteroendocrine cell of small intestine	0.1914	34
CLDN11	0.9656	enteroglial cell	0.5801	34
SLC25A39	0.6002	paneth cell of epithelium of small intestine	0.5605	34
MVP	0.6614	enterocyte of epithelium proper of ileum	1.6885	34
NUB1	0.4606	enterocyte of epithelium proper of duodenum	1.2537	34
PGM3	0.7010	small intestine goblet cell	0.5736	34
RWDD2A	0.8188	myeloid dendritic cell	0.0990	34
CLK1	0.6111	activated CD4-positive, alpha-beta T cell	5.0104	34
POLR3B	0.6087	myofibroblast cell	0.2461	34
ANGEL1	0.8091	endothelial cell of arteriole	0.3659	34
RNF14	0.6719	pericyte	0.5422	34
DNASE1L1	0.6732	endothelial cell of lymphatic vessel	0.3207	34
DDX11	0.8167	transit amplifying cell of small intestine	0.3648	34
HEBP1	0.8272	paneth cell of epithelium of small intestine	2.3115	34
GPRC5A	0.8160	enterocyte of epithelium proper of ileum	5.8222	34
MAMLD1	0.9327	monocyte	2.5539	34
CD6	0.8674	CD4-positive, alpha-beta T cell	2.3885	34
TACC3	0.7391	regulatory T cell	0.5210	34
UFL1	0.4542	enteroglial cell	0.6861	34
POLA2	0.9424	fibroblast	0.3242	34
ZC3H3	0.7577	neutrophil	0.8055	34
CAPN1	0.5451	regulatory T cell	0.7187	34
ACP3	0.9001	neutrophil	0.2115	34
MDH1	0.6478	paneth cell of epithelium of small intestine	1.2625	34
SLC30A9	0.4781	myofibroblast cell	1.0399	34
MTMR11	0.8104	enterocyte of epithelium proper of small intestine	0.7211	34
COX15	0.6709	innate lymphoid cell	0.2345	34
CCDC88C	0.7698	regulatory T cell	2.2919	34
YAF2	0.5956	pericyte	2.4590	34
ZMYND11	0.6841	pericyte	2.0499	34
WAS	0.8488	myeloid dendritic cell	1.4618	34
DPEP1	0.9757	enterocyte of epithelium proper of ileum	21.5683	34
BID	0.9238	myeloid dendritic cell	7.5035	34
MATR3	0.6337	naive thymus-derived CD4-positive, alpha-beta T cell	0.3890	34
NPC1L1	0.8672	enterocyte of epithelium proper of duodenum	1.0163	34
XYLT2	0.6654	myofibroblast cell	0.1339	34
RGPD5	0.6121	myofibroblast cell	0.0916	34
STMN4	0.9651	enteroendocrine cell of small intestine	0.0218	34
NUDCD3	0.5442	intestinal tuft cell	0.9115	34
ISL1	0.9735	pericyte	0.6407	34
CHDH	0.9464	intestinal tuft cell	1.6779	34
IL20RA	0.9589	enteroendocrine cell of small intestine	0.6595	34
CLCA1	0.9936	small intestine goblet cell	49.0871	34
CLCA4	0.9945	enterocyte of epithelium proper of ileum	1.5636	34
GLT8D1	0.6987	fibroblast	0.3742	34
ATP2C1	0.6376	myeloid dendritic cell	1.9276	34
IGF1	0.9234	endothelial cell of lymphatic vessel	0.9617	34
SLC38A5	0.8715	plasma cell	0.2417	34
RALBP1	0.6083	endothelial cell of lymphatic vessel	1.6299	34
RUFY3	0.6149	fibroblast	1.5804	34
CNTN1	0.9492	enteroglial cell	0.2457	34
SLC11A1	0.9911	neutrophil	23.6676	34
WWTR1	0.9144	endothelial cell of arteriole	6.6545	34
AGPS	0.5361	mast cell	1.0264	34
ZNF285CP	0.9555	enteroglial cell	0.0156	34
STEEP1	0.5466	myofibroblast cell	0.1917	34
ATP1A2	0.9635	enteroglial cell	1.6644	34
TTC27	0.6135	endothelial cell of lymphatic vessel	0.5791	34
ZNF582	0.8147	endothelial cell of arteriole	0.0846	34
VSIG2	0.9533	BEST4+ enterocyte	0.4958	34
PHLDB1	0.8869	pericyte	1.9692	34
MARCO	0.9788	macrophage	0.5907	34
CYP24A1	0.9540	intestinal crypt stem cell of small intestine	0.0087	34
PRDM11	0.7291	pericyte	0.3739	34
SYT13	0.9754	enteroendocrine cell of small intestine	0.9399	34
SNAI2	0.9624	pericyte	0.8059	34
CD74	0.9294	macrophage	65.5168	34
HGF	0.9517	pericyte	1.4473	34
ZRANB1	0.7467	pericyte	1.8098	34
NCDN	0.7645	CD4-positive, alpha-beta T cell	0.0930	34
ADGRA2	0.9016	pericyte	0.5257	34
CCT8L1P	0.9639	intestinal tuft cell	0.0053	34
ZFP64	0.6691	myeloid dendritic cell	0.4039	34
MNAT1	0.7884	natural killer cell	2.3774	34
SAMD4A	0.7835	enteroglial cell	6.0956	34
RUNX3	0.7878	CD8-positive, alpha-beta T cell	5.5722	34
MRE11	0.6429	endothelial cell of venule	0.6985	34
PLEKHB1	0.9671	enteroglial cell	1.8544	34
SERPINB1	0.6856	monocyte	4.3495	34
CYP3A43	0.8617	transit amplifying cell of small intestine	0.0403	34
SLC7A9	0.9736	enterocyte of epithelium proper of ileum	4.1512	34
SPAST	0.5293	regulatory T cell	0.6462	34
NRXN3	0.9839	enteroglial cell	27.3137	34
OSBPL5	0.9050	endothelial cell of lymphatic vessel	1.1301	34
AQR	0.3999	naive thymus-derived CD4-positive, alpha-beta T cell	0.8195	34
CPS1	0.8832	enterocyte of epithelium proper of jejunum	3.0579	34
C8B	0.9665	neutrophil	0.0142	34
FHL1	0.9539	myofibroblast cell	8.0840	34
RTF2	0.6212	neutrophil	1.6147	34
GABRA1	0.9680	enteroendocrine cell of small intestine	0.0142	34
NLRP2	0.8668	regulatory T cell	0.2198	34
SLC45A4	0.7943	neutrophil	1.6302	34
RNF10	0.4950	endothelial cell of venule	1.6582	34
ZNF839	0.6868	enterocyte of epithelium proper of jejunum	0.2442	34
ZDHHC6	0.6472	enteroglial cell	0.8036	34
GRAMD1B	0.6715	enterocyte of epithelium proper of ileum	2.6283	34
RNH1	0.6436	fibroblast	1.9816	34
NDUFS1	0.6756	myofibroblast cell	1.6274	34
RB1CC1	0.4779	pericyte	2.7267	34
ERP44	0.4304	monocyte	1.3876	34
ALAS1	0.6556	intestinal tuft cell	0.6873	34
BIRC3	0.8683	mast cell	11.4066	34
AKAP11	0.5152	regulatory T cell	0.6902	34
GLRX2	0.5789	endothelial cell of venule	0.3463	34
SNAPC1	0.6643	macrophage	0.5162	34
DERA	0.7267	enterocyte of epithelium proper of ileum	1.8553	34
STRAP	0.4599	CD8-positive, alpha-beta T cell	1.3374	34
ABCC2	0.8945	enterocyte of epithelium proper of jejunum	0.8291	34
DEF6	0.7780	activated CD4-positive, alpha-beta T cell	0.6884	34
PLEKHO1	0.8139	myofibroblast cell	2.2822	34
GCLM	0.7995	enteroendocrine cell of small intestine	2.1816	34
UBR2	0.5334	natural killer cell	2.7177	34
EHD2	0.9610	pericyte	3.3042	34
DEPDC1	0.9712	transit amplifying cell of small intestine	0.2031	34
CCDC28A	0.4751	regulatory T cell	0.3854	34
RRAGD	0.8289	neutrophil	0.3325	34
HSF2	0.6184	intestinal tuft cell	0.2891	34
PHF20	0.7909	mast cell	15.2667	34
HSD17B6	0.9971	myofibroblast cell	0.7838	34
NR1H3	0.8250	macrophage	0.5925	34
TYMP	0.8307	macrophage	2.8023	34
NCAPH2	0.4611	gamma-delta T cell	0.2386	34
TOMM34	0.8301	myeloid dendritic cell	0.6870	34
SEC63	0.5469	innate lymphoid cell	1.7682	34
KPNA6	0.4773	pericyte	1.2618	34
VIM	0.7917	enteroglial cell	47.2299	34
RTEL1-TNFRSF6B	0.9034	transit amplifying cell of small intestine	0.0156	34
FAS	0.8432	regulatory T cell	2.5296	34
RNASET2	0.8448	macrophage	3.9159	34
CD44	0.8558	monocyte	24.3281	34
KCNG1	0.9607	enteroglial cell	0.1128	34
AGPAT4	0.8546	monocyte	4.1879	34
SLAMF7	0.9381	plasma cell	3.8573	34
BTN3A1	0.6920	regulatory T cell	0.5451	34
MIPEP	0.7150	endothelial cell of lymphatic vessel	0.4818	34
PRKCH	0.8334	gamma-delta T cell	16.7654	34
INSRR	0.9401	natural killer cell	0.0468	34
IFNGR1	0.7612	neutrophil	4.3486	34
B4GALT7	0.5841	fibroblast	0.1536	34
SH2D2A	0.8496	regulatory T cell	1.7756	34
VRK2	0.6732	monocyte	1.6220	34
TNFRSF1B	0.8258	monocyte	6.8577	34
VEZT	0.5322	endothelial cell of lymphatic vessel	1.6827	34
POU2F2	0.8544	B cell	1.6425	34
BRD9	0.7226	regulatory T cell	1.4150	34
SNX1	0.6354	pericyte	1.8750	34
TBPL1	0.6558	endothelial cell of lymphatic vessel	0.3605	34
BMAL2	0.8398	monocyte	0.5974	34
